民國年,縣市,期作,收購類型,收購量(公噸)
100,苗栗縣,一期,輔導收購,4570.8
100,苗栗縣,一期,餘糧收購,909.3
100,苗栗縣,二期,計畫收購,4952.3
100,苗栗縣,二期,輔導收購,2412.1
100,苗栗縣,二期,餘糧收購,385.0
100,彰化縣,一期,計畫收購,20697.0
100,彰化縣,一期,輔導收購,5073.7
100,彰化縣,一期,餘糧收購,803.6
100,彰化縣,二期,計畫收購,11951.5
100,彰化縣,二期,輔導收購,2507.3
100,彰化縣,二期,餘糧收購,475.2
100,南投縣,一期,計畫收購,1978.6
100,南投縣,一期,輔導收購,821.5
100,南投縣,一期,餘糧收購,674.4
100,南投縣,二期,計畫收購,1406.3
100,南投縣,二期,輔導收購,348.5
100,南投縣,二期,餘糧收購,133.3
100,雲林縣,一期,計畫收購,42486.7
100,雲林縣,一期,輔導收購,20330.7
100,雲林縣,一期,餘糧收購,5563.4
100,雲林縣,二期,計畫收購,13058.3
100,雲林縣,二期,輔導收購,4497.0
100,雲林縣,二期,餘糧收購,334.4
100,嘉義縣,一期,計畫收購,25937.7
100,嘉義縣,一期,輔導收購,12209.1
100,嘉義縣,一期,餘糧收購,5215.3
100,嘉義縣,二期,計畫收購,13972.7
100,嘉義縣,二期,輔導收購,4704.6
100,嘉義縣,二期,餘糧收購,1070.2
100,屏東縣,一期,計畫收購,2988.5
100,屏東縣,一期,輔導收購,662.7
100,屏東縣,一期,餘糧收購,54.4
100,屏東縣,二期,計畫收購,210.2
100,屏東縣,二期,輔導收購,84.9
100,屏東縣,二期,餘糧收購,80.9
100,臺東縣,一期,計畫收購,1047.7
100,臺東縣,一期,輔導收購,251.8
100,臺東縣,一期,餘糧收購,122.6
100,臺東縣,二期,計畫收購,574.0
100,臺東縣,二期,輔導收購,221.8
100,臺東縣,二期,餘糧收購,77.4
100,花蓮縣,一期,計畫收購,3954.7
100,花蓮縣,一期,輔導收購,1617.6
100,花蓮縣,一期,餘糧收購,572.6
100,花蓮縣,二期,計畫收購,2405.2
100,花蓮縣,二期,輔導收購,787.8
100,花蓮縣,二期,餘糧收購,401.9
