民國年,縣市,期作,產量_稻穀(公噸)
111,嘉義市,一期,4533.9
111,嘉義市,二期,3759.6
112,新北市,一期,764.8
112,新北市,二期,7.1
112,臺北市,一期,1128.2
112,臺北市,二期,571.1
112,桃園市,一期,61516.3
112,桃園市,二期,13622.9
112,臺中市,一期,94166.5
112,臺中市,二期,47595.2
112,臺南市,一期,35542.2
112,臺南市,二期,15470.2
112,高雄市,一期,38661.6
112,高雄市,二期,1437.2
112,宜蘭縣,一期,73347.0
112,新竹縣,一期,28622.0
112,新竹縣,二期,13117.8
112,苗栗縣,一期,40648.8
112,苗栗縣,二期,23027.7
112,彰化縣,一期,226322.7
112,彰化縣,二期,90947.6
112,南投縣,一期,16987.4
112,南投縣,二期,13363.0
112,雲林縣,一期,233148.8
112,雲林縣,二期,61474.2
112,嘉義縣,一期,88944.6
112,嘉義縣,二期,38446.2
112,屏東縣,一期,45131.9
112,屏東縣,二期,3711.6
112,臺東縣,一期,38567.9
112,臺東縣,二期,27225.7
112,花蓮縣,一期,44760.8
112,花蓮縣,二期,27222.6
112,新竹市,一期,4111.3
112,新竹市,二期,2537.8
112,嘉義市,一期,5227.2
112,嘉義市,二期,2995.9
113,新北市,一期,741.1
113,新北市,二期,4.9
113,臺北市,一期,1161.6
113,臺北市,二期,466.9
113,桃園市,一期,67675.7
113,桃園市,二期,5660.9
113,臺中市,一期,85188.7
113,臺中市,二期,42008.5
113,臺南市,一期,96740.5
113,臺南市,二期,49087.6
113,高雄市,一期,36889.6
113,高雄市,二期,1003.1
113,宜蘭縣,一期,72100.3
113,新竹縣,一期,27400.4
113,新竹縣,二期,9675.6
113,苗栗縣,一期,38156.6
113,苗栗縣,二期,12984.1
113,彰化縣,一期,211181.9
113,彰化縣,二期,90017.7
113,南投縣,一期,15658.1
113,南投縣,二期,11478.4
113,雲林縣,一期,209744.2
113,雲林縣,二期,62921.9
113,嘉義縣,一期,136977.8
113,嘉義縣,二期,62329.9
113,屏東縣,一期,43917.2
113,屏東縣,二期,2653.1
113,臺東縣,一期,40231.0
113,臺東縣,二期,25356.6
113,花蓮縣,一期,44818.3
113,花蓮縣,二期,24157.8
113,新竹市,一期,3938.8
113,新竹市,二期,1666.0
113,嘉義市,一期,5487.0
113,嘉義市,二期,3460.4
