民國年,縣市,期作,產量_稻穀(公噸)
93,花蓮縣,一期,38788.0
93,花蓮縣,二期,33133.9
93,新竹市,一期,2007.9
93,新竹市,二期,2149.8
93,臺中市,一期,7945.1
93,臺中市,二期,6048.5
93,嘉義市,一期,5665.7
93,嘉義市,二期,3747.1
93,臺南市,一期,956.7
93,臺南市,二期,2631.2
94,臺北市,一期,1230.2
94,臺北市,二期,531.6
94,高雄市,一期,642.6
94,高雄市,二期,106.6
94,臺北縣,一期,1417.0
94,臺北縣,二期,54.8
94,宜蘭縣,一期,57953.5
94,宜蘭縣,二期,0.5
94,桃園縣,一期,36884.0
94,桃園縣,二期,18781.5
94,新竹縣,一期,20092.6
94,新竹縣,二期,13257.9
94,苗栗縣,一期,37663.7
94,苗栗縣,二期,24323.1
94,臺中縣,一期,87129.1
94,臺中縣,二期,55661.7
94,彰化縣,一期,171455.0
94,彰化縣,二期,91356.3
94,南投縣,一期,16914.3
94,南投縣,二期,9309.9
94,雲林縣,一期,182232.1
94,雲林縣,二期,70485.1
94,嘉義縣,一期,109774.1
94,嘉義縣,二期,71966.2
94,臺南縣,一期,92194.8
94,臺南縣,二期,44466.8
94,高雄縣,一期,29404.4
94,高雄縣,二期,4117.1
94,屏東縣,一期,37648.8
94,屏東縣,二期,8746.4
94,臺東縣,一期,36471.9
94,臺東縣,二期,33473.8
94,花蓮縣,一期,38380.8
94,花蓮縣,二期,31858.6
94,新竹市,一期,4548.7
94,新竹市,二期,3042.6
94,臺中市,一期,6256.2
94,臺中市,二期,5379.3
94,嘉義市,一期,5203.4
94,嘉義市,二期,3615.8
94,臺南市,一期,1038.4
94,臺南市,二期,2067.1
95,臺北市,一期,1314.0
95,臺北市,二期,757.7
95,高雄市,一期,523.8
95,高雄市,二期,50.9
95,臺北縣,一期,1176.5
95,臺北縣,二期,50.6
95,宜蘭縣,一期,55422.2
95,宜蘭縣,二期,4.4
95,桃園縣,一期,35035.0
95,桃園縣,二期,19268.4
95,新竹縣,一期,14483.9
95,新竹縣,二期,15481.4
95,苗栗縣,一期,35104.2
95,苗栗縣,二期,27414.6
95,臺中縣,一期,84341.1
95,臺中縣,二期,72959.4
95,彰化縣,一期,175333.3
95,彰化縣,二期,134943.6
95,南投縣,一期,15078.8
95,南投縣,二期,13929.7
95,雲林縣,一期,182087.3
95,雲林縣,二期,90132.1
95,嘉義縣,一期,111520.9
95,嘉義縣,二期,80231.2
95,臺南縣,一期,95107.4
95,臺南縣,二期,51019.0
95,高雄縣,一期,26430.3
95,高雄縣,二期,3370.5
95,屏東縣,一期,35103.8
95,屏東縣,二期,7123.5
95,臺東縣,一期,35889.6
95,臺東縣,二期,34728.9
95,花蓮縣,一期,35452.9
95,花蓮縣,二期,38009.9
95,新竹市,一期,2281.9
95,新竹市,二期,3201.1
95,臺中市,一期,5419.0
95,臺中市,二期,5833.1
95,嘉義市,一期,5111.8
95,嘉義市,二期,4325.2
95,臺南市,一期,719.8
95,臺南市,二期,2275.1
96,臺北市,一期,1221.8
96,臺北市,二期,779.4
96,高雄市,一期,505.9
96,高雄市,二期,41.2
96,臺北縣,一期,1167.5
96,臺北縣,二期,67.3
96,宜蘭縣,一期,59814.6
96,桃園縣,一期,34458.1
96,桃園縣,二期,15326.4
96,新竹縣,一期,21136.0
96,新竹縣,二期,13334.2
96,苗栗縣,一期,38171.3
96,苗栗縣,二期,19629.5
96,臺中縣,一期,89549.7
96,臺中縣,二期,43480.7
96,彰化縣,一期,176123.8
96,彰化縣,二期,81775.5
96,南投縣,一期,15365.1
96,南投縣,二期,9090.6
96,雲林縣,一期,169860.5
96,雲林縣,二期,52672.9
96,嘉義縣,一期,110407.3
96,嘉義縣,二期,59192.7
96,臺南縣,一期,93905.6
96,臺南縣,二期,35704.2
96,高雄縣,一期,25937.2
96,高雄縣,二期,2579.1
96,屏東縣,一期,34259.8
96,屏東縣,二期,4615.3
96,臺東縣,一期,34650.1
96,臺東縣,二期,22392.2
96,花蓮縣,一期,41010.3
96,花蓮縣,二期,27820.1
96,新竹市,一期,4181.3
96,新竹市,二期,3168.1
96,臺中市,一期,6090.0
96,臺中市,二期,3818.3
96,嘉義市,一期,4947.0
96,嘉義市,二期,2809.0
96,臺南市,一期,868.8
96,臺南市,二期,1529.5
97,臺北市,一期,1371.3
97,臺北市,二期,814.3
97,高雄市,一期,519.2
97,高雄市,二期,2.6
97,臺北縣,一期,1090.7
97,臺北縣,二期,34.2
97,宜蘭縣,一期,60028.4
97,桃園縣,一期,33164.3
97,桃園縣,二期,14497.3
97,新竹縣,一期,21388.5
97,新竹縣,二期,12603.7
97,苗栗縣,一期,36482.5
97,苗栗縣,二期,19002.4
97,臺中縣,一期,90626.5
97,臺中縣,二期,44605.0
97,彰化縣,一期,182582.4
97,彰化縣,二期,90869.7
97,南投縣,一期,16956.9
97,南投縣,二期,11060.5
97,雲林縣,一期,200634.7
97,雲林縣,二期,64913.8
97,嘉義縣,一期,113710.1
97,嘉義縣,二期,63871.0
97,臺南縣,一期,95205.0
97,臺南縣,二期,37975.1
97,高雄縣,一期,27857.8
97,高雄縣,二期,3380.0
97,屏東縣,一期,34743.2
97,屏東縣,二期,5114.6
97,臺東縣,一期,35807.7
97,臺東縣,二期,32031.3
97,花蓮縣,一期,41634.1
97,花蓮縣,二期,36100.7
97,新竹市,一期,3993.4
97,新竹市,二期,2344.7
97,臺中市,一期,5664.4
97,臺中市,二期,4232.7
97,嘉義市,一期,5290.5
97,嘉義市,二期,2722.0
97,臺南市,一期,830.5
97,臺南市,二期,1417.7
98,臺北市,一期,1493.9
98,臺北市,二期,826.6
98,高雄市,一期,457.6
98,高雄市,二期,6.7
98,臺北縣,一期,1102.3
98,臺北縣,二期,58.7
98,宜蘭縣,一期,59735.5
98,桃園縣,一期,39201.9
98,桃園縣,二期,17343.9
98,新竹縣,一期,24913.8
98,新竹縣,二期,15610.2
98,苗栗縣,一期,40341.6
98,苗栗縣,二期,24134.1
98,臺中縣,一期,101984.0
98,臺中縣,二期,65364.3
98,彰化縣,一期,198041.2
98,彰化縣,二期,105791.0
98,南投縣,一期,17707.0
98,南投縣,二期,12840.9
98,雲林縣,一期,208037.7
98,雲林縣,二期,82615.6
98,嘉義縣,一期,116481.3
98,嘉義縣,二期,74928.7
98,臺南縣,一期,94712.0
98,臺南縣,二期,42752.1
98,高雄縣,一期,27323.1
98,高雄縣,二期,1922.4
98,屏東縣,一期,37260.1
98,屏東縣,二期,4371.2
